dist.index,diversity,foot.index
-3.097,7.873,0
-3.200,6.914,0
-3.097,7.417,0
-3.100,6.593,0
-2.602,7.654,1
-2.602,7.715,0
-2.602,7.31,1
-2.602,7.691,2
-2.097,7.411,3
-2.100,7.517,0
-2.200,7.702,1
-2.097,7.004,2
-2.097,6.928,3
-1.602,7.02,0
-1.700,6.879,1
-1.602,6.797,0
-1.602,7.457,2
-1.500,7.899,3
-1.097,7.714,0
-1.097,7.504,0
-1.097,7.584,1
-1.097,7.819,2
-1.097,6.707,0
-0.509,7.035,0
-0.509,5.515,4
-0.509,6.423,2
-0.509,6.875,1
-0.509,6.915,2
0.000,2.989,8
0.000,3.077,7
0.000,5.144,5
0.000,2.015,9
0.000,4.825,4
0.491,1.515,12
0.491,0.531,18
0.491,2.55,7
0.491,1.051,9
0.491,2.062,7
1.000,0.068,17
1.000,0.916,16
1.000,0.88,15
1.000,1.356,9
1.000,0.718,18