Site,Mid_line_Diameter ,Petiole_Diameter ,Beaver
1,118.51,6.47,N
1,87.59,5.74,N
1,95.94,5.76,N
1,98.86,5.48,N
1,99.08,6.53,N
1,78.87,4.3,N
1,96.84,5.93,N
1,109.25,5.72,N
1,109.07,5.74,N
1,87.18,5.11,N
1,89.91,5.19,N
1,83.41,4.74,N
1,113.6,6.16,N
1,96.85,5.6,N
1,77.33,5.04,N
2,57.52,2.87,N
2,205,8.74,N
2,200,8.2,N
2,179,7.61,N
2,82.36,3.25,N
2,99.28,5.32,N
2,135.3,6.6,N
2,131.78,6.26,N
2,192,8.11,N
2,150.45,6.93,N
2,156,8.14,N
2,137.1,6.4,N
2,125.27,6.3,N
2,67.79,3.85,N
2,73.36,3.46,N
2,68.97,3.51,N
2,73.53,3.53,N
2,107.45,5.23,N
2,120.95,6.34,N
2,132.67,6.45,N
3,147.75,6.8,N
3,120.99,6.88,N
3,66.19,3.67,N
3,99.4,4.56,N
3,97.33,5.01,N
3,151.61,6.27,N
3,132.39,6.27,N
3,91.49,5.15,N
3,81.13,3.9,N
3,174,7.69,N
3,118.8,6.51,N
3,215,9.34,N
3,97.98,4.69,N
3,90.19,3.05,N
3,171,7.53,N
3,134.83,5.78,N
3,94.84,5.3,N
3,61.82,3.81,N
3,61.96,3.53,N
4,157.9,7.51,N
4,63.57,3.93,N
4,130.98,6.55,N
4,116.7,6.57,N
4,97.39,5.23,N
4,116.75,5.75,N
4,120.41,6.7,N
4,136.04,5.95,N
4,124.27,5.47,N
4,101.48,5.16,N
4,165,8.79,N
4,131.79,6.31,N
4,131.28,7.92,N
4,67,3.91,N
4,124.16,6.04,N
4,134.21,6.48,N
4,79.2,4.27,N
4,135.32,7.07,N
4,140.85,7.5,N
4,87.94,4.71,N
4,161,7.15,N
4,156.92,6.99,N
4,131.52,6.99,N
4,165,7.74,N
4,134.59,6.92,N
4,137.18,7.25,N
4,117.97,6.86,N
4,170,7.47,N
4,165,8.84,N
4,124.86,7.12,N
4,112.27,7.01,N
4,113.47,5.92,N
4,144,8.01,N
4,137,7.47,N
5,34.4,1.59,N
5,107.62,4.86,N
5,88.73,3.97,N
5,101.27,4.27,N
5,130.8,5.9,N
5,93.35,4.35,N
5,173,8.36,N
5,103.14,5.09,N
5,60.5,3.64,N
5,100.49,4.69,N
5,37.57,2.09,N
5,50.46,2.76,N
5,106.56,5.5,N
5,103,5.45,N
5,62.86,3.38,N
5,53.48,3.17,N
5,45.75,2.48,N
5,107.64,5.32,N
5,122.16,6.19,N
5,133.34,6.95,N
5,153.89,6.49,N
6,122.7,6.41,N
6,123.57,5.75,N
6,138.91,6.19,N
6,152,7.64,N
6,173,7.43,N
6,60.22,3.19,N
6,90.53,4.56,N
6,61.55,2.83,N
6,45.85,2.23,N
6,86.07,4.25,N
6,131.15,6.29,N
6,92.21,4.37,N
6,112.5,6.05,N
6,54.27,2.96,N
6,59.72,3.38,N
6,210,8.91,N
6,49.01,2.03,N
6,73.33,3.74,N
6,195,7.79,N
6,203,9,N
7,97.22,6.52,N
7,164,7.49,N
7,65.47,3.49,N
7,183,7.16,N
7,103.06,4.85,N
7,54.67,3.56,N
7,55,4.04,N
7,84.09,4.6,N
7,123.81,6.18,N
7,168,8.46,N
7,175,8.72,N
7,74.68,4.56,N
7,57.56,3.47,N
7,84.53,4.67,N
7,62.51,4.35,N
7,56.13,3.81,N
7,130.39,6.23,N
7,176,7,N
7,151.96,7.38,N
7,128.58,6.49,N
8,125.51,6.58,N
8,142.91,6.93,N
8,120.78,7.23,N
8,54.62,3.46,N
8,101.54,5.79,N
8,61.09,3.74,N
8,91.37,5.37,N
8,60.57,3.57,N
8,68.57,4.7,N
8,122.09,6.31,N
8,131.2,6.27,N
8,132,5.51,N
8,162,6.93,N
8,175,7.86,N
8,70.51,4,N
8,127.11,7.8,N
8,75.97,4.21,N
8,63.69,4.62,N
8,46.32,3.64,N
8,74.47,4.3,N
8,74.84,4.52,N
8,53.45,4.18,N
8,139.54,6.96,N
8,176,8.26,N
9,84.7,4.38,N
9,124.69,5.94,N
9,131.01,6.06,N
9,44.13,3.16,N
9,45.35,3.06,N
9,40.74,2.54,N
9,80.48,3.9,N
9,67.04,3.2,N
9,179,8.59,N
9,81.22,3.98,N
9,96.29,4.84,N
9,150,7.57,N
9,196,8.29,N
9,58.4,3.51,N
9,100,6.18,N
9,87.96,4.81,N
9,155.88,7.1,N
9,123.39,4.9,N
9,116.16,6.09,N
9,144.11,6.95,N
9,128.53,6.39,N
9,115.24,6.46,N
9,156.94,7.56,N
9,116.26,5.14,N
9,85.92,4.3,N
9,93.23,5.8,N
9,134.9,6.83,Y
9,115.44,6.28,Y
9,150.18,7.47,Y
9,131.64,7.58,Y
9,127.05,6.83,Y
10,106.19,5.93,Y
10,69.52,4.08,Y
10,134.85,7.76,Y
10,89.21,6.52,Y
10,126.78,6.73,Y
10,169,9.05,Y
10,107.31,5.75,Y
10,81.38,6.24,Y
10,90.51,5.21,Y
10,131.57,7.04,Y
10,123.02,7.83,Y
10,119.11,5.93,Y
11,143,7.42,N
11,58,3.58,N
11,149,7.47,N
11,98,6.07,N
11,115,6.81,N
11,151,8.05,N
11,150,7.24,N
11,140,7.9,N
11,126,6.15,N
11,134,6.2,N
11,114,7.26,N
11,104,7.06,N
11,115,6.45,N
11,78,3.66,N
11,82,4.37,N
11,82,4.55,N
11,66,3.81,N
11,60,2.77,N
11,39,1.91,N
11,43,2.62,N
12,48,2.39,N
12,85,4.22,N
12,61,2.41,N
12,103,5.54,N
12,71,3.56,N
12,137,5.72,N
12,94,4.72,N
12,106,5.05,N
12,130,6.76,N
12,103,5.64,N
12,78,4.06,N
12,193,9.25,N
12,134,5.99,N
12,112,4.57,N
12,161,6.96,N
12,154,6.78,N
12,148,7.29,N
12,105,5.16,N
12,195,8.64,N
12,156,7.01,N
13,47,2.39,N
13,85,4.65,N
13,111,5.16,N
13,57,2.87,N
13,160,6.63,N
13,173,7.42,N
13,91,3.66,N
13,152,7.26,N
13,72,3.71,N
13,68,3.2,N
13,123,5.99,N
13,116,6.38,N
13,115,5.49,N
13,110,4.93,N
13,163,7.29,N
13,134,6.1,N
13,134,5.97,N
13,193,9.93,N
13,180,8.28,N
13,152,7.24,N
14,49,2.97,N
14,112,6.68,N
14,71,3.78,N
14,187,7.11,N
14,57,2.74,N
14,100,4.75,N
14,102,5.59,N
14,82,3.94,N
14,124,5.44,N
14,103,4.98,N
14,85,4.24,N
14,103,5.51,N
14,165,6.48,N
14,108,5.69,N
14,56,2.79,N
14,125,5.72,N
14,88,4.39,N
14,144,7.19,N
14,153,7.29,N
14,176,8.18,N
15,54,2.84,N
15,96,4.19,N
15,147,6.5,N
15,60,3.2,N
15,68,4.14,N
15,53,2.51,N
15,180,8.53,N
15,119,6.25,N
15,127,6.17,N
15,52,3.53,N
15,94,5.03,N
15,112,6.1,N
15,98,4.98,N
15,107,5.21,N
15,99,5.03,N
15,171,7.19,N
15,128,6.32,N
15,139,7.04,N
15,112,6.35,N
15,131,6.3,N
16,78,3.73,N
16,110,5.21,N
16,96,3.78,N
16,77,3.71,N
16,154,6.93,N
16,153,6.4,N
16,30,1.57,N
16,65,3.2,N
16,105,4.55,N
16,50,2.62,N
16,69,3.48,N
16,57,2.67,N
16,216,9.4,N
16,157,6.86,N
16,145,6.2,N
16,116,4.93,N
16,118,5.18,N
16,152,6.12,N
16,166,7.26,N
16,205,9.14,N
17,138,6.12,N
17,53,3.23,N
17,136,7.04,N
17,51,3.05,N
17,151,7.06,N
17,176,9.58,N
17,53,4.62,N
17,173,8.66,N
17,65,3.96,N
17,85,5.26,N
17,52,3.53,N
17,144,8.33,N
17,112,5.41,N
17,160,7.32,N
17,105,5.46,N
17,89,4.34,N
17,121,6.35,N
17,114,6.12,N
17,109,5.11,N
17,154,8.18,N